path,len
VCTK/p236/p236_281.wav,26626
VCTK/p280/p280_035.wav,37889
VCTK/p295/p295_129.wav,55298
VCTK/p280/p280_089.wav,39937
VCTK/p237/p237_250.wav,18432
VCTK/p295/p295_389.wav,44546
VCTK/p243/p243_056.wav,38401
VCTK/p303/p303_104.wav,63489
VCTK/p273/p273_139.wav,57346
VCTK/p267/p267_077.wav,36865
VCTK/p283/p283_195.wav,46594
VCTK/p347/p347_093.wav,57346
VCTK/p293/p293_371.wav,59394
VCTK/p314/p314_128.wav,26626
VCTK/p232/p232_211.wav,10753
VCTK/p314/p314_422.wav,45570
VIVO/VIVOSSPK15_263.wav,26113
VIVO/VIVOSSPK28_057.wav,130049
VCTK/p278/p278_081.wav,36865
VCTK/p326/p326_313.wav,62646
VIVO/VIVOSSPK11_R069.wav,46081
VCTK/p257/p257_420.wav,16385
VCTK/p236/p236_381.wav,73218
VCTK/p329/p329_001.wav,41251
VCTK/p257/p257_374.wav,33281
VCTK/p253/p253_278.wav,25089
VCTK/p236/p236_420.wav,21505
VIVO/VIVOSSPK10_R079.wav,25089
VCTK/p287/p287_286.wav,61953
VCTK/p244/p244_423.wav,39425
VCTK/p248/p248_376.wav,61953
VCTK/p287/p287_309.wav,30209
VCTK/p274/p274_354.wav,25601
VCTK/p239/p239_383.wav,55809
VCTK/p298/p298_338.wav,38401
VCTK/p334/p334_261.wav,53568
VCTK/p363/p363_231.wav,20481
VCTK/p336/p336_182.wav,35329
VCTK/p339/p339_013.wav,69633
VCTK/p276/p276_239.wav,28674
VCTK/p268/p268_001.wav,22017
VCTK/p254/p254_290.wav,25089
VCTK/p238/p238_091.wav,39425
VCTK/p282/p282_326.wav,34817
VCTK/p226/p226_271.wav,17922
VCTK/p233/p233_309.wav,28161
VCTK/p275/p275_188.wav,26113
VCTK/p298/p298_053.wav,71170
VCTK/p292/p292_370.wav,26113
VCTK/p326/p326_277.wav,36865
VCTK/p267/p267_120.wav,40961
VCTK/p272/p272_296.wav,17409
VCTK/p284/p284_340.wav,64298
VCTK/p233/p233_165.wav,40450
VCTK/p316/p316_310.wav,41474
VCTK/p282/p282_037.wav,21505
VCTK/p301/p301_255.wav,40961
VCTK/p256/p256_216.wav,72194
VCTK/p274/p274_164.wav,44546
VCTK/p341/p341_282.wav,51201
VCTK/p329/p329_332.wav,54274
VCTK/p304/p304_270.wav,27650
VCTK/p250/p250_332.wav,44033
VCTK/p341/p341_404.wav,41985
VIVO/VIVOSSPK10_R039.wav,64513
VCTK/p282/p282_314.wav,16898
VCTK/p267/p267_003.wav,125442
VIVO/VIVOSSPK45_021.wav,66049
VCTK/p280/p280_388.wav,102913
VIVO/VIVOSSPK37_090.wav,104961
VCTK/p295/p295_345.wav,32256
VCTK/p333/p333_149.wav,39937
VCTK/p310/p310_064.wav,23041
VCTK/p298/p298_122.wav,20993
VCTK/p244/p244_311.wav,41474
VIVO/VIVOSSPK10_T010.wav,41474
VCTK/p282/p282_172.wav,67585
VCTK/p360/p360_039.wav,24065
VCTK/p247/p247_177.wav,34305
VCTK/p374/p374_357.wav,86529
VCTK/p238/p238_001.wav,30209
VCTK/p307/p307_378.wav,44033
VCTK/p288/p288_070.wav,16898
VCTK/p323/p323_206.wav,78337
VIVO/VIVOSSPK14_250.wav,40961
VCTK/p305/p305_089.wav,71680
VIVO/VIVOSSPK23_095.wav,129537
VCTK/p336/p336_079.wav,51201
VCTK/p251/p251_121.wav,72194
VCTK/p307/p307_302.wav,24577
VCTK/p247/p247_355.wav,31233
VCTK/p272/p272_236.wav,25601
VCTK/p232/p232_176.wav,43009
VCTK/p329/p329_208.wav,52737
VCTK/p343/p343_116.wav,34305
VCTK/p251/p251_160.wav,60929
VIVO/VIVOSSPK18_136.wav,45570
VIVO/VIVOSSPK05_T034.wav,34817
VIVO/VIVOSSPK12_R191.wav,64001
VCTK/p277/p277_234.wav,19970
VCTK/p236/p236_049.wav,45570
VIVO/VIVOSSPK28_060.wav,133086
VCTK/p343/p343_241.wav,50177
VCTK/p252/p252_367.wav,48129
VCTK/p330/p330_083.wav,68098
VIVO/VIVOSSPK06_R099.wav,47617
VCTK/p341/p341_164.wav,35329
VCTK/p226/p226_209.wav,27650
VIVO/VIVOSSPK43_297.wav,54463
VCTK/s5/s5_336.wav,65025
VCTK/p249/p249_221.wav,30722
VCTK/p334/p334_085.wav,29185
VCTK/p307/p307_355.wav,46594
VIVO/VIVOSSPK20_196.wav,36865
VCTK/p334/p334_165.wav,48129
VCTK/p239/p239_225.wav,47617
VCTK/p237/p237_145.wav,51201
VCTK/p302/p302_233.wav,26113
VIVO/VIVOSSPK42_234.wav,60898
VCTK/p317/p317_413.wav,39937
VCTK/p270/p270_007.wav,88065
VCTK/p271/p271_048.wav,27650
VCTK/p273/p273_169.wav,19457
VCTK/p283/p283_366.wav,32256
VCTK/p310/p310_332.wav,107522
VCTK/p246/p246_188.wav,38913
VCTK/p256/p256_095.wav,27650
VCTK/p313/p313_238.wav,22529
VCTK/p239/p239_400.wav,44033
VCTK/p252/p252_217.wav,37889
VCTK/p228/p228_204.wav,17922
VCTK/p361/p361_382.wav,33794
VCTK/p313/p313_082.wav,45570
VCTK/p265/p265_041.wav,18946
VCTK/p231/p231_194.wav,37889
VCTK/p270/p270_457.wav,35841
VCTK/p295/p295_007.wav,65025
VCTK/p281/p281_228.wav,22529
VCTK/p295/p295_128.wav,31233
VCTK/p283/p283_357.wav,29698
VCTK/p259/p259_139.wav,43009
VIVO/VIVOSSPK17_240.wav,31233
VCTK/p261/p261_054.wav,71680
VCTK/p250/p250_065.wav,20993
VCTK/p307/p307_030.wav,48641
VCTK/p229/p229_360.wav,22529
VCTK/p271/p271_040.wav,71170
VCTK/p271/p271_241.wav,54274
VCTK/p226/p226_130.wav,34817
VIVO/VIVOSSPK31_266.wav,140801
VCTK/p282/p282_191.wav,64513
VCTK/p251/p251_267.wav,25089
VCTK/p294/p294_364.wav,38401
VCTK/p264/p264_198.wav,16385
VCTK/p299/p299_345.wav,43522
VCTK/p247/p247_303.wav,45570
VCTK/p305/p305_158.wav,41985
VCTK/p249/p249_161.wav,15874
VCTK/p341/p341_279.wav,44033
VCTK/p313/p313_409.wav,29185
VIVO/VIVOSSPK34_040.wav,96529
VIVO/VIVOSSPK42_088.wav,57827
VCTK/p267/p267_417.wav,38401
VIVO/VIVOSSPK07_T041.wav,37377
VCTK/p231/p231_386.wav,47105
VIVO/VIVOSSPK12_R161.wav,75777
VCTK/p294/p294_203.wav,31233
VCTK/p260/p260_014.wav,71680
VCTK/p300/p300_185.wav,24065
VCTK/p266/p266_074.wav,24065
VCTK/p264/p264_214.wav,23553
VCTK/p253/p253_059.wav,30209
VCTK/p271/p271_342.wav,24585
